id	title	name_src	variants	type	aat_type	ccodes	lon	lat	min	max
563	Χοστέβα (Chosteba)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.469293	38.475221	1780	1820
564	Χρυσό (Chryso)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.703589	38.52997	1780	1820
565	Άβαρίκος (Abarikos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.703333	38.529722	1780	1820
566	Άβρέτ Χισάρ (Abret Chisar)	ali-pasha	Ίσάρ	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.746352	40.918869	1780	1820
567	Άγιος Βασίλειος (Agios Basileios)	ali-pasha	Βασίλης	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.980028	38.85544	1780	1820
568	Άγιος Γεώργιος (Agios Geōrgios)	ali-pasha	Άι Γιώργης	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.555706	38.616442	1780	1820
569	Άγόργιανη (Agorgianē)	ali-pasha	Άγόριανη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.209273	39.120553	1780	1820
570	Άι Λιάς (Ai Lias)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.880885	39.205765	1780	1820
571	ΑΊθίκων (AIthikōn)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.666074	38.428658	1780	1820
572	Αιτωλοακαρνανίας (Aitōloakarnanias)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.416667	38.666667	1780	1820
573	Ἄκετσι (Aketsi)	ali-pasha	Ἄκ Κηφλί, Άκκετζιλί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
574	Άλάμπορο (Alamporo)	ali-pasha	Άλάμπορ, Άλάμπουρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	24.552157	41.362245	1780	1820
575	Άλέστια (Alestia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.580753	38.832176	1780	1820
576	Αλώνια (Alōnia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
577	Άμάρι «ήτοι Ότατζιλάρι» (Amari «ētoi Otatzilari»)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.292799	39.730536	1780	1820
578	Άμερικάνικος (Amerikanikos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
579	Ανατολικές Ἰνδίες (Anatolikes Indies)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	86	23.25	1780	1820
580	Άνέζα (Aneza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.924921	39.085037	1780	1820
581	Άραπιά (Arapia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.866667	40.983333	1780	1820
582	Άράχοβα Κραβάρων (Arachoba Krabarōn)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.866664	38.686865	1780	1820
583	Ἄρδοση (Ardosē)	ali-pasha	Ἄρδαση	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.682975	40.250154	1780	1820
584	Ἄρεζα (Areza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	11.87	43.473333	1780	1820
585	Ἄριζα (Ariza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.516386	39.499939	1780	1820
586	Άσφάκα Γριμενίτζας (Asphaka Grimenitzas)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
587	Βάιζα (Baiza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	15.633056	47.216944	1780	1820
588	Βαλανίδα (Balanida)	ali-pasha	Βελανίδα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.046718	39.926358	1780	1820
589	Βάλτζα (Baltza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	16.466667	53.266667	1780	1820
590	Βαλτίστα (Baltista)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	83.2785	30.8327	1780	1820
591	Βάνιστα (Banista)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
592	Βάνιτζα (Banitza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.429893	39.462918	1780	1820
593	Βαρδάρι (Bardari)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.95	36.783333	1780	1820
594	Βάρνακας (Barnakas)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.116492	38.941146	1780	1820
595	Βαρυμπόπη (Barympopē)	ali-pasha	Βαρπόπι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.583992	39.410386	1780	1820
596	Βατσουνιά (Batsounia)	ali-pasha	Βατζουνιά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.841849	38.499825	1780	1820
597	Βελβίτζανα (Belbitzana)	ali-pasha	Βελβίτζανη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.245833	39.151259	1780	1820
598	Βελεσιώτες (Belesiōtes)	ali-pasha	Βελεσώτες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
599	Βελετέ χάνι (Belete chani)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
600	Βελλας (Bellas)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	9.166667	46.716667	1780	1820
601	Βελούχι (Belouchi)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.823889	38.945	1780	1820
602	Βελωτά (Belōta)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.387951	39.699703	1780	1820
603	Βένδιστα (Bendista)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
604	Βερετζί (Beretzi)	ali-pasha	Βερεντζί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.191007	40.682282	1780	1820
605	Βέτζιστα (Betzista)	ali-pasha	Βέτζιστες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.534102	39.946144	1780	1820
606	Βήσσανη (Bēssanē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
607	Βίμπλιανη (Bimplianē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.687081	38.988923	1780	1820
608	Βίνιανη (Binianē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
609	Βιρμικιώτες (Birmikiōtes)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.467825	40.535872	1780	1820
610	Βλαχοκλεισούρα (Blachokleisoura)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.081132	39.468799	1780	1820
611	Βλοχός «ήτοι Κισικλί» (Blochos «ētoi Kisikli»)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.090662	39.520428	1780	1820
612	Βλύχα (Blycha)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.012119	39.615935	1780	1820
613	Βοστίδιον (Bostidion)	ali-pasha	Βοστίδες, Βοστίδου	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
614	Βούλα (Boula)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.75	37.85	1780	1820
615	Βουλγαρία (Boulgaria)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	25.25	42.66667	1780	1820
616	Βουνέσι (Bounesi)	ali-pasha	Βουνό	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.553134	39.554185	1780	1820
617	Βρενίκου (Brenikou)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.43253	40.194402	1780	1820
618	Βρόντος (Brontos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.629657	38.38325	1780	1820
619	Γαβρολίμνη (Gabrolimnē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.257095	39.539918	1780	1820
620	Γαρδίκι (Gardiki)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.973869	38.834821	1780	1820
621	Γαρδίκι (Gardiki)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	-104.294288	40.620249	1780	1820
622	Γενί Ντουνιάς (Geni Ntounias)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
623	Γερούκικα χωριά (Geroukika chōria)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	26.502613	42.483428	1780	1820
624	Γιάμπολη (Giampolē)	ali-pasha	Jambol	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
625	Γιατζελί (Giatzeli)	ali-pasha	Γιαφλί, Ίνφλί, Ίνφλί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.708196	39.438855	1780	1820
626	Γκελάντι (Nkelanti)	ali-pasha	Γκιλάνδι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
627	Γκιρτζαληδες (Nkirtzalēdes)	ali-pasha	Γκρετζαληδες, Κιρτζαληδες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.78811	40.712072	1780	1820
628	Γκοβέρι (Nkoberi)	ali-pasha	Γουβέρι, Γκουβέρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
629	Γκοριτζιώτες (Nkoritziōtes)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
630	Γκόσνιτσκα (Nkosnitska)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
631	Γκουζγκουνλάρι (Nkouznkounlari)	ali-pasha	Γκουσγκουνλάρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.625883	39.417686	1780	1820
632	Γκριτζιλάρ (Nkritzilar)	ali-pasha	Κριτσιλάρ	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
633	Γλαβίτζα (Glabitza)	ali-pasha	Γλαβίτσα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.864626	39.512408	1780	1820
634	Γλίνος (Glinos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.2907	39.9732	1780	1820
635	Γολέμη (Golemē)	ali-pasha	Γονέμη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
636	Γορίτζα (Goritza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.263844	39.653861	1780	1820
637	Γούνιτσα (Gounitsa)	ali-pasha	Γούνιτζα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.560565	39.067245	1780	1820
638	Γούρα (Goura)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.258447	38.471659	1780	1820
639	Γούρια (Gouria)	ali-pasha	Γούργια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.619847	38.921282	1780	1820
640	Γράβανη (Grabanē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
641	Γραικία (Graikia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.962359	38.202849	1780	1820
642	Γραμματικό (Grammatiko)	ali-pasha	Γραμματίκου, Γραμματίκοβο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.835708	40.391012	1780	1820
643	Γράμοστα (Gramosta)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
644	Γράμποβο (Grampobo)	ali-pasha	Γραπόβα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.981001	39.183881	1780	1820
645	Γρεμενίτζα (Gremenitza)	ali-pasha	Γριμενίτζα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.59348	38.639383	1780	1820
646	Δαδί (Dadi)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.337478	39.68805	1780	1820
647	Δένδρα «ήτοι Κούρου Τζεπρεσί» (Dendra «ētoi Kourou Tzepresi»)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.498398	39.833206	1780	1820
648	Διμοκόρι (Dimokori)	ali-pasha	Διμόκορο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.440967	39.991392	1780	1820
649	Αίστομο (Aistomo)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
650	Δολό (Dolo)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.846083	38.75667	1780	1820
651	Δομνίστα (Domnista)	ali-pasha	Τομνίστα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.8464	38.7569	1780	1820
652	Δουκάτες (Doukates)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.215768	40.656362	1780	1820
653	Δραγομή (Dragomē)	ali-pasha	Δραγούμη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.439659	40.061209	1780	1820
654	Δρυμάδες (Drymades)	ali-pasha	Τρυμάδες, Τρουμάδες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.111478	38.511114	1780	1820
655	Δωρίδος (Dōridos)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.875178	38.816843	1780	1820
656	Έδεσσα (Edessa)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.044	40.8017	1780	1820
657	Ελλάδα (Ellada)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.667202	40.495797	1780	1820
658	Εορδαίας (Eordaias)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	41.271594	39.904715	1780	1820
659	Έρζερούμ (Erzeroum)	ali-pasha	Έρζηρόμι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	41.276944	39.908611	1780	1820
660	Άργυροκάστρου (Argyrokastrou)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.133333	40.066667	1780	1820
661	Ἔφεσος (Ephesos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.020752	38.42631	1780	1820
662	Έχινάδες (Echinades)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.110833	38.303611	1780	1820
663	Ζαβλάνια (Zablania)	ali-pasha	Ζαβλάντια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.75	38.25	1780	1820
664	Ζάβροχο (Zabrocho)	ali-pasha	Ζαβροΰχο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
665	Ζάρκανη (Zarkanē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.540653	39.681855	1780	1820
666	Ζερμή (Zermē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.29622	39.607563	1780	1820
667	Ζογλώπι (Zoglōpi)	ali-pasha	Ζογλώπου	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.197984	39.294741	1780	1820
668	Ζυγός (Zygos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.3013	40.549958	1780	1820
669	Ήμαδίας (Ēmadias)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.381142	39.531354	1780	1820
670	Θεσπρωτίας (Thesprōtias)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.333333	39.583333	1780	1820
671	Ίθάκη (Ithakē)	ali-pasha	Θιάκι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.716667	38.366667	1780	1820
672	Ινδία (India)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	78	21	1780	1820
673	Ίσαρλίκ Άρντί (Isarlik Arnti)	ali-pasha	Σαρλίκι, Έρικλί, Έρικιλί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.713058	39.809473	1780	1820
674	Ίσαρλίκι (Isarliki)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	25.259257	35.284812	1780	1820
675	Καινούργιο Χωριό (Kainourgio Chōrio)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.383333	37.066667	1780	1820
676	Καλαμάκια (Kalamakia)	ali-pasha	Καλαμάκι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.189194	39.542752	1780	1820
677	Καλαμάς (Kalamas)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.142222	39.586667	1780	1820
678	Καλαπόδι Τζίμπρα (Kalapodi Tzimpra)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
679	Καλεσμένο (Kalesmeno)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.977224	39.490367	1780	1820
680	Καλέτζι (Kaletzi)	ali-pasha	Καλέζι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.821602	40.165105	1780	1820
681	Κάλλιανη (Kallianē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
682	Καλοχρίστιανης (Kalochristianēs)	ali-pasha	 μουκατάς άταύτιστο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.625408	39.885851	1780	1820
683	Καλπάκι (Kalpaki)	ali-pasha	Καλιμπάκι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.616667	39.883333	1780	1820
684	Καλύβια Δροβιανίτικα (Kalybia Drobianitika)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.025363	39.833423	1780	1820
685	Καλύβια (Kalybia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	79.3512	43.6779	1780	1820
686	Καραμουρατάτες (Karamouratates)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
687	Καρατάς (Karatas)	ali-pasha	Καρατάσι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	35.380278	36.5625	1780	1820
688	Καρατζάνταγλι (Karatzantagli)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.750129	39.270167	1780	1820
689	Καρίτσα (Karitsa)	ali-pasha	Καρίτσα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.762332	39.843273	1780	1820
690	Καστανέα (Kastanea)	ali-pasha	Καστανιά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.685297	38.750625	1780	1820
691	Κάταρο (Kataro)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	18.771177	42.424933	1780	1820
692	Κεντρώματα (Kentrōmata)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.470015	39.885773	1780	1820
693	Κερασιά Μεγτάνι (Kerasia Megtani)	ali-pasha	Μεϊντάνη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.495622	39.752977	1780	1820
694	Κεράσοβο (Kerasobo)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.683333	38.983333	1780	1820
695	Κεσαράτι (Kesarati)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	38.791667	37.158333	1780	1820
696	Κεσερλί (Keserli)	ali-pasha	Κεσιρλί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.581337	39.757105	1780	1820
697	Κιλελέρ (Kileler)	ali-pasha	Κιολελέρ	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.6409	39.5052	1780	1820
698	Κιλίτζι (Kilitzi)	ali-pasha	Κίλιζι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.875054	40.993688	1780	1820
699	Κιλκίς (Kilkis)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.866667	40.983333	1780	1820
700	Κιοπόμπασι (Kiopompasi)	ali-pasha	Κιομπόμπασι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
701	Κιουπρουλί (Kiouprouli)	ali-pasha	Κουπρουλί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.773606	41.715813	1780	1820
702	Κίσοβο (Kisobo)	ali-pasha	Κίσοβα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.666589	39.981003	1780	1820
703	Κλειδωνιάβιστα (Kleidōniabista)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.66697	39.981126	1780	1820
704	Κοδωνίων (Kodōniōn)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
705	Κολωνιάρηδες (Kolōniarēdes)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
706	Κόμαρη (Komarē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.566667	37.966667	1780	1820
707	Κονιάροι (Koniaroi)	ali-pasha	Κονιάρο, Κονιάρι, Κουγιούγγερη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
708	Κονιαροχώρια (Koniarochōria)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
709	Κονιατζί (Koniatzi)	ali-pasha	Κονιατσί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.100941	39.838644	1780	1820
710	Κονουπίτζα (Konoupitza)	ali-pasha	Κονουσπίτζα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.464118	40.228109	1780	1820
711	κάστρου (kastrou)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	18.770919	42.424743	1780	1820
712	Κόνσκα (Konska)	ali-pasha	Κόντζκα, Κόντσικα, Κόνιτζκα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
713	Κοντουργιώτζα (Kontourgiōtza)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.460642	40.227114	1780	1820
714	Κορίτιανη (Koritianē)	ali-pasha	Κορίστγιανη, Κορίτγιανη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.958469	36.796014	1780	1820
715	Κορόνγια (Korongia)	ali-pasha	Ίταλ. Corongia, Ίσπ. Corufia	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
716	Κορώνη (Korōnē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
717	Κοσίνα (Kosina)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
718	Κοσοβίτσα (Kosobitsa)	ali-pasha	Κοσοβίτζα, Κουσοβίτσα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
719	Κοστρέτζι (Kostretzi)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.031002	39.259745	1780	1820
720	Κουβανάτες (Koubanates)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
721	Κούγκι (Kounki)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
722	Κουκεσώτες (Koukesōtes)	ali-pasha	Κουκουσιώτες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.613475	39.650628	1780	1820
723	Κούρεντα (Kourenta)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.695622	39.396157	1780	1820
724	Κούρσαβο (Koursabo)	ali-pasha	Κούρσοβο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
725	Κουρτέσι (Kourtesi)	ali-pasha	Κούρτεση	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.32	37.978333	1780	1820
