id	title	name_src	variants	type	aat_type	ccodes	lon	lat	min	max
55	Άδριανούπολη (Adrianoupolē)	ali-pasha	Άδριανού, Έντρενέ, Έτρενέ, Ήντρηνέ, Ίντρινέ	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	26.566667	41.666667	1780	1820
56	Κόνιτσα (Konitsa)	ali-pasha	Κόνιτζα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.75	40.05	1780	1820
57	Σούβλιαση (Soubliasē)	ali-pasha	Σούλβαση, Σιούλιαση, Σούλφαση, Σούφλιαση, Σούλιαση, Σούβλεση, Σόβλαση, Ἄγιος Βλάσης	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.283333	39.555556	1780	1820
58	Τρίπολη (Tripolē)	ali-pasha	Τριπολιτζά, Τριπολιτσά, Τροπολιτζά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	13.191389	32.887222	1780	1820
59	Άχρίδα (Achrida)	ali-pasha	Όχρίδα, Ὄχρη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.801667	41.116944	1780	1820
60	Ἔγριπος (Egripos)	ali-pasha	Έγριμπόζι, Νεγριμπός, Εΰβοια	district	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	24	38.5	1780	1820
61	Βοδενά (Bodena)	ali-pasha	Βοτενά, Βοτινά	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.05	40.8	1780	1820
62	Κονίσπολη (Konispolē)	ali-pasha	Κοντίσπολη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.183333	39.666667	1780	1820
63	Νάουσα (Naousa)	ali-pasha	Νάουστα, Νιάουστα, Νιάγουστα, Νεγόστη, Αύγουστόζη, Αύγοστόζι	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.066667	40.633333	1780	1820
64	Σέρβια (Serbia)	ali-pasha	Σέλφιτζε, Σέρφιτζε, Σέλφιντζε	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21	40.183333	1780	1820
65	Σουχά (Soucha)	ali-pasha	Σοχά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.25583	40.07222	1780	1820
66	Χειμάρα (Cheimara)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.733333	40.116667	1780	1820
67	Δομένικο (Domeniko)	ali-pasha	Δουμένικο, Δημένικο, Ντομένικο, Ντουμενίκι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.121667	39.791667	1780	1820
68	Δωδώνης (Dōdōnēs)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.787778	39.546389	1780	1820
69	Κοριτσά (Koritsa)	ali-pasha	Κιόρτζα, Κιόρτσα, Γκιόριτζα, Κόρτζα, Γκόρτζα	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.78083	40.61861	1780	1820
70	Νεμτζία (Nemtzia)	ali-pasha	: Αυστρία	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	13.333333	47.333333	1780	1820
71	Σερβία (Serbia)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21	44	1780	1820
72	Βελβενδός (Belbendos)	ali-pasha	Βελβηντός	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.066667	40.25	1780	1820
73	Δίμπρα (Dimpra)	ali-pasha	Δίβρα, Τίμπρα, Ντίμπρη, Δέμπρες, Ντίμπρες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.533333	41.516667	1780	1820
74	Ζητούνι (Zētouni)	ali-pasha	Λαμία, Ίζτίνι, Ίζτίν, Isdin	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.433333	38.9	1780	1820
75	Λαζαράτες (Lazarates)	ali-pasha	Λιαζαράτες, Λαζαράτι, Λιαζαράτι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.15	40.05	1780	1820
76	Ρούμελη (Roumelē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.3333	41	1780	1820
77	Γρεβενά (Grebena)	ali-pasha	Γρεβενό, Γριβενά, Γριβινό	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.416667	40.083333	1780	1820
78	Δούναβης (Dounabēs)	ali-pasha	Δούνα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	29.761389	45.2175	1780	1820
79	Καρδίτσα (Karditsa)	ali-pasha	Καρδίτζα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.916667	39.366667	1780	1820
80	Μέτσοβο (Metsobo)	ali-pasha	Μέτζοβο	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.183889	39.770278	1780	1820
81	Ἰόνια νησιά (Ionia nēsia)	ali-pasha	Ἰονικά νησιά, Ίονικοί νήσοι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.333333	38.666667	1780	1820
82	Ταλάντι (Talanti)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.998889	38.650833	1780	1820
83	Τζιατάλτζια (Tziataltzia)	ali-pasha	Τζατάλτζα, Τζατάλτζη, Τζιαταλτζέ, Τζιαλτάτζια, Φάρσαλα, Φέρσαλα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	24.208333	41.13	1780	1820
84	Φιλιάτες (Philiates)	ali-pasha	Φιλιάτι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.309124	39.599997	1780	1820
85	Αίγυπτος (Aigyptos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	30	26	1780	1820
86	Βιδίνι (Bidini)	ali-pasha	Βιδίν	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.866667	44	1780	1820
87	Κράβαρα (Krabara)	ali-pasha	Κράβαρι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.980833	38.680556	1780	1820
88	Λουαράτι (Louarati)	ali-pasha	Λουγαράτι, Λουκαράτι, Λιουράτι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.41319	39.35561	1780	1820
89	Μόσκοβος (Moskobos)	ali-pasha	Μοσκοβία, Μόσκοβο, Μόσχοβος, Μούσχοβος	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	38.833333	55.083333	1780	1820
90	Γκρικοχώρι (Nkrikochōri)	ali-pasha	Γκιρκοχώρι, Γκραικοχώρι, Κρικοχώρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.278056	39.482778	1780	1820
91	Καστοριά (Kastoria)	ali-pasha	Καστοργιά, Κοστοΰρι	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.2667	40.5167	1780	1820
92	Κοζάνη (Kozanē)	ali-pasha	Κόζιανη	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.783333	40.30069	1780	1820
93	Κοκόσι (Kokosi)	ali-pasha	Κοκοτί, Κοκοτοί, Κοκοτούς	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.774743	39.078872	1780	1820
94	Παρίσι (Parisi)	ali-pasha	Paris	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	2.3508	48.8567	1780	1820
