id	name	name_src	type	aat_type	close_match
15491	Tabegua	alcedo	pueblo	town	
15492	Tabicas	alcedo	people	cultural group	
15493	Tabio	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000367
15494	Tablachuca	alcedo	provincia	province	
15495	Tablada	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000589
15496	Tablas	alcedo	pueblo	town	
15497	Tablas	alcedo	pueblo	town	
15498	Tablas	alcedo	provincia	province	
15499	Tablas	alcedo	provincia	province	
15500	Taboga	alcedo	isla	island	
15501	Taboguilla	alcedo	isla	island	
15502	Tabolevo	alcedo	rio	river	
15503	Taboquinquet	alcedo	rio	river	
15504	Tabouy	alcedo	pueblos y tierras indígenas	town	
15505	Tabuco	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003281
15506	Tabuil	alcedo	pueblo	town	
15507	Tabuya	alcedo	pueblo	town	
15508	Tabuyas	alcedo	pueblos y tierras indígenas	nation	
15509	Tacabamba	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001369
15510	Tacalaiso	alcedo	pueblo	town	
15511	Tacalazaluma	alcedo	pueblo	town	
15512	Tacaloa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000140
15513	Tacambaro	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1000139
15514	Tacames	alcedo			
15515	Tacamocho	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000139
15516	Tacaquira	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000356
15517	Tacarigua	alcedo	lago	lagoon	
15518	Tacarigua	alcedo	lago	lagoon	
15519	Tacarigua	alcedo	isla	island	
15520	Tacata	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=4000196
15521	Tacatu	alcedo	rio	river	
15522	Tacazuruma	alcedo	montaña	mountain	
15523	Tacazquaro	alcedo	pueblo	town	
15524	Taches	alcedo	isla	island	
15525	Tachina	alcedo	rio	river	
15526	Tachira	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=4000561
15527	Tachira	alcedo	rio	river	
15528	Tachobacor	alcedo	provincia	province	
15529	Tacmara	alcedo	pueblos y tierras indígenas	nation	
15530	Tacna	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000026
15531	Tacoara	alcedo	rio	river	
15532	Tacobamba	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000183
15533	Tacotalpa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1004860
15534	Tacotan	alcedo	pueblo	town	
15535	Tacuana	alcedo	pueblo	town	
15536	Tacuato	alcedo	pueblo	town	
15537	Tacuazcalco	alcedo	pueblo	town	
15538	Tacuba	alcedo	alcaldía mayor	inhabited place	
15539	Ono	alcedo	pueblo	town	
